utility_id,utility_name,state,ownership,price_baseline,price_current,price_change_pct,baseline_start_year,baseline_end_year,customers,sales_mwh
55,City of Aberdeen - (MS),MS,Municipal,12.17683714392667,12.29884050351938,1.0019297963064222,2021,2023,2592.0,34239.0
84,A & N Electric Coop,MD,Cooperative,12.991002972625424,13.692722371967655,5.401579853540883,2021,2023,253.0,2226.0
84,A & N Electric Coop,VA,Cooperative,12.470133021688369,13.021379621427446,4.420535039845475,2021,2023,33096.0,368014.0
108,Adams-Columbia Electric Coop,WI,Cooperative,16.816869776800957,17.63316823653229,4.854045197266288,2021,2023,35910.0,265097.0
113,"Agway Energy Services, LLC",MD,Retail Power Marketer,13.835909384965595,11.363636363636363,-17.868525678663794,2021,2023,2.0,22.0
113,"Agway Energy Services, LLC",NY,Retail Power Marketer,11.624994012220364,13.319432166813996,14.575819590207217,2021,2023,13406.0,96155.0
113,"Agway Energy Services, LLC",PA,Retail Power Marketer,12.85771111328151,11.512605042016807,-10.461473736762228,2021,2023,945.0,8449.0
155,Agralite Electric Coop,MN,Cooperative,12.434442459325334,13.944066339245376,12.140664005307977,2021,2023,4333.0,68617.0
162,Aiken Electric Coop Inc,SC,Cooperative,14.743309624285637,15.525700503871207,5.306752008360394,2021,2023,49460.0,650960.0
176,Ajo Improvement Co,AZ,Investor Owned,11.025538400569596,12.564862861378801,13.961444828215196,2021,2023,821.0,5396.0
195,Alabama Power Co,AL,Investor Owned,15.144884193251295,16.771992972770178,10.743619817469053,2021,2023,1332911.0,18058325.0
207,Alameda Municipal Power,CA,Municipal,20.93882683764507,22.978589420654913,9.741532316140255,2021,2023,33174.0,139744.0
213,Alaska Electric Light & Power Co.,AK,Investor Owned,12.281018618672519,12.933374749452017,5.311905722442534,2021,2023,15407.0,170626.0
219,Alaska Power and Telephone Co,AK,Investor Owned,35.916104850201485,37.17595737833876,3.507764924375434,2021,2023,5737.0,27967.0
221,"Alaska Village Elec Coop, Inc",AK,Cooperative,55.00493827445779,69.94869339170884,27.16802451933733,2021,2023,7689.0,43854.0
230,Albany Utility Board,GA,Municipal,11.131611065357914,12.8674977076732,15.594208530312791,2021,2023,29517.0,344628.0
232,City of Albemarle - (NC),NC,Municipal,11.962192827243953,10.846117338321305,-9.330024227504353,2021,2023,11248.0,143278.0
240,Albemarle Electric Member Corp,NC,Cooperative,13.887207744939452,14.471975676094495,4.2108387941999,2021,2023,12728.0,187141.0
241,Albertville Municipal Utilities Board,AL,Municipal,10.41351667471848,10.669220369535827,2.4554980109469993,2021,2023,8318.0,124264.0
276,Alcorn County Elec Power Assn,MS,Cooperative,12.349417802756221,12.923932812667166,4.652162709911067,2021,2023,14965.0,214981.0
295,City of Alexandria - (MN),MN,Municipal,10.55074320175677,11.565720226106166,9.61995761758654,2021,2023,8758.0,76955.0
296,"Alfalfa Electric Coop, Inc",KS,Cooperative,10.979288806532361,10.410270722857941,-5.182649748095436,2021,2023,205.0,3583.0
296,"Alfalfa Electric Coop, Inc",OK,Cooperative,10.771040164199881,10.203503661447586,-5.269096522716888,2021,2023,2630.0,49434.0
298,City of Alexandria - (LA),LA,Municipal,11.49599334394967,11.100978344351372,-3.4361101975254327,2021,2023,19541.0,278634.0
305,Alger-Delta Coop Electric Assn,MI,Cooperative,21.197816373004258,23.24786821705426,9.671051998831226,2021,2023,9817.0,51600.0
307,Algoma Utility Comm,WI,Municipal,13.323446513966658,13.022737819025524,-2.256988795098236,2021,2023,1654.0,10775.0
392,Alpena Power Co,MI,Investor Owned,14.72180407260076,17.425076733839912,18.362373578047418,2021,2023,13763.0,86989.0
407,Altamaha Electric Member Corp,GA,Cooperative,14.628181780101206,16.035859937686286,9.623056226303884,2021,2023,19628.0,236866.0
471,Amana Society Service Co,IA,Investor Owned,14.86046896398121,15.527586711546903,4.489210597476112,2021,2023,709.0,6833.0
554,City of Ames - (IA),IA,Municipal,11.821411330254184,12.095769507466091,2.3208580561760117,2021,2023,24979.0,170973.0
562,Amicalola Electric Member Corp,GA,Cooperative,11.7283165623251,12.410637788824094,5.817725185648692,2021,2023,50337.0,748163.0
571,City of Amory,MS,Municipal,11.570632028151921,11.677788369876072,0.9261062097855488,2021,2023,2822.0,37764.0
577,City of Alcoa Utilities,TN,Municipal,11.749265290413405,12.211338560415697,3.9327843791161277,2021,2023,28183.0,410299.0
590,City of Anaheim - (CA),CA,Municipal,16.941091730244036,17.112078419463145,1.0093014779788634,2021,2023,105839.0,592710.0
604,City of Andalusia,AL,Municipal,14.77746262561139,15.779400297724532,6.780173954739999,2021,2023,3605.0,42321.0
636,City of Anderson - (IN),IN,Municipal,12.041446111940653,12.819573923647438,6.462079425287381,2021,2023,29533.0,300134.0
689,Connexus Energy,MN,Cooperative,13.762759355378114,13.658722462528921,-0.7559304799479638,2021,2023,134095.0,1242625.0
691,City of Anoka,MN,Municipal,15.02858931198697,15.876973140360315,5.645132824919674,2021,2023,11646.0,76211.0
719,Town of Apex- (NC),NC,Municipal,11.854743569205354,10.517067957502986,-11.283884833892156,2021,2023,29289.0,318140.0
727,Appalachian Electric Coop,TN,Cooperative,12.388007512850892,12.928309540525781,4.361492573477999,2021,2023,43709.0,640950.0
733,Appalachian Power Co,VA,Investor Owned,13.350641061493265,17.016584103926505,27.458928942421924,2021,2023,465283.0,5850904.0
733,Appalachian Power Co,WV,Investor Owned,15.02781191546538,16.765767990646538,11.564930975697107,2021,2023,348946.0,4632296.0
750,Arab Electric Coop Inc,AL,Cooperative,11.793316196957884,11.95759852599842,1.3930121629649461,2021,2023,14062.0,208955.0
803,Arizona Public Service Co,AZ,Investor Owned,14.210547857692113,16.45035592806813,15.761588453914666,2021,2023,1256120.0,15579131.0
814,Entergy Arkansas LLC,AR,Investor Owned,11.919019248785942,12.967719664750899,8.798546206490743,2021,2023,608362.0,7708656.0
814,Entergy Arkansas LLC,TN,Investor Owned,11.1875,11.935483870967742,6.685889349432328,2021,2023,1.0,31.0
817,Arkansas Valley Elec Coop Corp,AR,Cooperative,12.591092232321637,13.32629953180392,5.839106615349765,2021,2023,54372.0,721279.0
817,Arkansas Valley Elec Coop Corp,OK,Cooperative,12.627674329867807,13.281987015473518,5.181577133788506,2021,2023,4250.0,57453.0
944,City of Athens - (AL),AL,Municipal,10.894157588937135,12.23669744547839,12.323484818179843,2021,2023,50985.0,695825.0
947,Athens Utility Board,TN,Municipal,11.132972631576214,11.77138320110661,5.734412457996041,2021,2023,11651.0,161213.0
963,Atlantic City Electric Co,NJ,Investor Owned,18.637041794973214,22.573371327012552,21.12099964867302,2021,2023,506488.0,3845201.0
